playerID,name,birthYear,debut,finalGame,bbref_url,player_context,year_note,primary_position,positions,teams,team_timeline,batting_games,hits,home_runs,runs_batted_in,stolen_bases,batting_average,pitching_games,strikeouts,wins,losses,saves,innings_pitched,earned_run_average,corrective_status,corrective_note,corrective_class_year,include_in_directory,major_awards,all_star_selections,title_awards
spaldal01,Al Spalding,1850,1871,1878,https://www.baseball-reference.com/players/s/spaldal01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P | OF | 1B | 2B | 3B | SS,Boston Red Stockings | Chicago White Stockings,Boston Red Stockings (1871-1875) | Chicago White Stockings (1876-1878),411,613,2,338,18,0.313,347,248,251,65,13,2886.1,2.13,Corrective Induction,Foundational nineteenth-century pitching case added manually outside the automatic induction lanes.,2026,TRUE,NA,NA,NA
zobribe01,Ben Zobrist,1981,2006,2019,https://www.baseball-reference.com/players/z/zobribe01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,2B,2B | OF | SS | 1B | 3B | P,Tampa Bay Devil Rays | Tampa Bay Rays | Kansas City Royals | Oakland Athletics | Chicago Cubs,Tampa Bay Devil Rays (2006-2007) | Tampa Bay Rays (2008-2014) | Kansas City Royals (2015-2015) | Oakland Athletics (2015-2015) | Chicago Cubs (2016-2019),1651,1566,167,768,116,0.266,1,1,0,0,0,1.0,0,Corrective Induction,Multi-position value and championship-era peak added manually outside the automatic induction lanes.,2026,TRUE,World Series MVP (1),3,NA
dahlebi01,Bill Dahlen,1870,1891,1911,https://www.baseball-reference.com/players/d/dahlebi01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,SS,SS | 3B | OF | 2B,Chicago Colts | Chicago Orphans | Brooklyn Superbas | New York Giants | Boston Doves | Brooklyn Dodgers,Chicago Colts (1891-1897) | Chicago Orphans (1898-1898) | Brooklyn Superbas (1899-1910) | New York Giants (1904-1907) | Boston Doves (1908-1909) | Brooklyn Dodgers (1911-1911),2444,2461,84,1234,548,0.272,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Strong historical shortstop case added manually outside the automatic induction lanes.,2026,TRUE,NA,NA,NA
abreubo01,Bobby Abreu,1974,1996,2014,https://www.baseball-reference.com/players/a/abreubo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,OF,OF,Houston Astros | Philadelphia Phillies | New York Yankees | Los Angeles Angels of Anaheim | Los Angeles Dodgers | New York Mets,Houston Astros (1996-1997) | Philadelphia Phillies (1998-2006) | New York Yankees (2006-2008) | Los Angeles Angels of Anaheim (2009-2012) | Los Angeles Dodgers (2012-2012) | New York Mets (2014-2014),2425,2470,288,1363,400,0.291,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,On-base and all-around outfield value added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.,2026,TRUE,Gold Glove (1) | Silver Slugger (1),2,NA
bondsbo01,Bobby Bonds,1946,1968,1981,https://www.baseball-reference.com/players/b/bondsbo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,OF,OF,San Francisco Giants | New York Yankees | California Angels | Chicago White Sox | Texas Rangers | Cleveland Indians | St. Louis Cardinals | Chicago Cubs,San Francisco Giants (1968-1974) | New York Yankees (1975-1975) | California Angels (1976-1977) | Chicago White Sox (1978-1978) | Texas Rangers (1978-1978) | Cleveland Indians (1979-1979) | St. Louis Cardinals (1980-1980) | Chicago Cubs (1981-1981),1849,1886,332,1024,461,0.268,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Power-speed outfield peak added manually outside the automatic induction lanes.,2026,TRUE,All-Star Game MVP (1) | Gold Glove (3),3,NA
grichbo01,Bobby Grich,1949,1970,1986,https://www.baseball-reference.com/players/g/grichbo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,2B,2B | SS | 1B | 3B,Baltimore Orioles | California Angels,Baltimore Orioles (1970-1976) | California Angels (1977-1986),2008,1833,224,864,104,0.266,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Strong all-around second-base value added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (4) | Silver Slugger (1),6,NA
saberbr01,Bret Saberhagen,1964,1984,2001,https://www.baseball-reference.com/players/s/saberbr01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Kansas City Royals | New York Mets | Colorado Rockies | Boston Red Sox,Kansas City Royals (1984-1991) | New York Mets (1992-1995) | Colorado Rockies (1995-1995) | Boston Red Sox (1997-2001),403,23,0,1,0,0.121,399,1715,167,117,1,2562.2,3.34,Corrective Induction,Two-time Cy Young pitching case added manually outside the automatic induction lanes.,2026,TRUE,Cy Young (2) | Gold Glove (1) | World Series MVP (1),3,NA
poseybu01,Buster Posey,1987,2009,2021,https://www.baseball-reference.com/players/p/poseybu01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,C,C | 1B,San Francisco Giants,San Francisco Giants (2009-2021),1371,1500,158,729,23,0.302,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Recently retired catcher with an MVP-caliber peak added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (1) | MVP (1) | Silver Slugger (5),7,NA
delgaca01,Carlos Delgado,1972,1993,2009,https://www.baseball-reference.com/players/d/delgaca01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,1B,1B | OF | C,Toronto Blue Jays | Florida Marlins | New York Mets,Toronto Blue Jays (1993-2004) | Florida Marlins (2005-2005) | New York Mets (2006-2009),2035,2038,473,1512,14,0.28,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Middle-of-the-order first-base power added manually outside the automatic induction lanes.,2026,TRUE,Silver Slugger (3),2,NA
utleych01,Chase Utley,1978,2003,2018,https://www.baseball-reference.com/players/u/utleych01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,2B,2B | 1B | 3B,Philadelphia Phillies | Los Angeles Dodgers,Philadelphia Phillies (2003-2015) | Los Angeles Dodgers (2015-2018),1937,1885,259,1025,154,0.275,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Peak second-base value added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.,2026,TRUE,Silver Slugger (4),6,NA
lemonch01,Chet Lemon,1955,1975,1990,https://www.baseball-reference.com/players/l/lemonch01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,OF,OF | 3B | 2B,Chicago White Sox | Detroit Tigers,Chicago White Sox (1975-1981) | Detroit Tigers (1982-1990),1988,1875,215,884,58,0.273,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Joke page kept on the site for search only and intentionally hidden from the directories.,2026,FALSE,NA,3,NA
hamelco01,Cole Hamels,1983,2006,2020,https://www.baseball-reference.com/players/h/hamelco01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Philadelphia Phillies | Texas Rangers | Chicago Cubs | Atlanta Braves,Philadelphia Phillies (2006-2015) | Texas Rangers (2015-2018) | Chicago Cubs (2018-2019) | Atlanta Braves (2020-2020),430,116,2,34,1,0.169,423,2560,163,122,0,2698.0,3.43,Corrective Induction,Postseason-tested left-hander case added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.,2026,TRUE,World Series MVP (1),4,NA
murphda05,Dale Murphy,1956,1976,1993,https://www.baseball-reference.com/players/m/murphda05.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,OF,OF | 1B | C,Atlanta Braves | Philadelphia Phillies | Colorado Rockies,Atlanta Braves (1976-1990) | Philadelphia Phillies (1990-1992) | Colorado Rockies (1993-1993),2180,2111,398,1266,161,0.265,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Two MVPs and a strong center-field peak added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (5) | MVP (2) | Silver Slugger (4),7,NA
stiebda01,Dave Stieb,1957,1979,1998,https://www.baseball-reference.com/players/s/stiebda01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P | OF,Toronto Blue Jays | Chicago White Sox,Toronto Blue Jays (1979-1998) | Chicago White Sox (1993-1993),454,0,0,0,0,0,443,1669,176,137,3,2895.1,3.44,Corrective Induction,Ace-level run prevention case added manually outside the automatic induction lanes.,2026,TRUE,NA,7,NA
wrightda03,David Wright,1982,2004,2018,https://www.baseball-reference.com/players/w/wrighda03.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,3B,3B | SS,New York Mets,New York Mets (2004-2018),1585,1777,242,970,196,0.296,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Franchise third-base peak added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.,2026,TRUE,Gold Glove (2) | Silver Slugger (2),7,NA
pedrodu01,Dustin Pedroia,1983,2006,2019,https://www.baseball-reference.com/players/p/pedrodu01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,2B,2B | SS,Boston Red Sox,Boston Red Sox (2006-2019),1512,1805,140,725,138,0.299,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Second-base peak and MVP resume added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.,2026,TRUE,Gold Glove (4) | MVP (1) | Silver Slugger (1),4,NA
evansdw01,Dwight Evans,1951,1972,1991,https://www.baseball-reference.com/players/e/evansdw01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,OF,OF | 1B,Boston Red Sox | Baltimore Orioles,Boston Red Sox (1972-1990) | Baltimore Orioles (1991-1991),2606,2446,385,1384,78,0.272,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Two-way right-field value added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (8) | Silver Slugger (2),3,NA
goodedw01,Dwight Gooden,1964,1984,2000,https://www.baseball-reference.com/players/g/goodedw01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,New York Mets | New York Yankees | Cleveland Indians | Houston Astros | Tampa Bay Devil Rays,New York Mets (1984-1994) | New York Yankees (1996-2000) | Cleveland Indians (1998-1999) | Houston Astros (2000-2000) | Tampa Bay Devil Rays (2000-2000),434,145,8,67,1,0.196,430,2293,194,112,3,2800.2,3.51,Corrective Induction,Cy Young peak and ace-level prime added manually outside the automatic induction lanes.,2026,TRUE,Cy Young (1) | Silver Slugger (1),4,NA
cicoted01,Eddie Cicotte,1884,1905,1920,https://www.baseball-reference.com/players/c/cicoted01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Detroit Tigers | Boston Red Sox | Chicago White Sox,Detroit Tigers (1905-1905) | Boston Red Sox (1908-1912) | Chicago White Sox (1912-1920),504,198,0,58,6,0.186,502,1374,209,149,24,3226.0,2.38,Corrective Induction,Early ace pitching case added manually outside the automatic induction lanes.,2026,TRUE,NA,NA,NA
hernafe02,Felix Hernandez,1986,2005,2019,https://www.baseball-reference.com/players/h/hernafe02.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Seattle Mariners,Seattle Mariners (2005-2019),419,4,1,7,0,0.08,419,2524,169,136,0,2729.2,3.42,Corrective Induction,Cy Young ace peak added manually outside the automatic induction lanes.,2026,TRUE,Cy Young (1),6,NA
rodrifr03,Francisco Rodriguez,1982,2002,2017,https://www.baseball-reference.com/players/r/rodrifr03.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Anaheim Angels | Los Angeles Angels of Anaheim | New York Mets | Milwaukee Brewers | Baltimore Orioles | Detroit Tigers,Anaheim Angels (2002-2004) | Los Angeles Angels of Anaheim (2005-2008) | New York Mets (2009-2011) | Milwaukee Brewers (2011-2015) | Baltimore Orioles (2013-2013) | Detroit Tigers (2016-2017),948,1,0,0,0,0.5,948,1142,52,53,437,976.0,2.86,Corrective Induction,Historic closer peak added manually outside the automatic induction lanes.,2026,TRUE,Reliever of the Year (4),6,NA
nettlgr01,Graig Nettles,1944,1967,1988,https://www.baseball-reference.com/players/n/nettlgr01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,3B,3B | OF | 1B | SS,Minnesota Twins | Cleveland Indians | New York Yankees | San Diego Padres | Atlanta Braves | Montreal Expos,Minnesota Twins (1967-1969) | Cleveland Indians (1970-1972) | New York Yankees (1973-1983) | San Diego Padres (1984-1986) | Atlanta Braves (1987-1987) | Montreal Expos (1988-1988),2700,2225,390,1314,32,0.248,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Third-base value and overlooked career added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (2),6,NA
moyerja01,Jamie Moyer,1962,1986,2012,https://www.baseball-reference.com/players/m/moyerja01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Chicago Cubs | Texas Rangers | St. Louis Cardinals | Baltimore Orioles | Boston Red Sox | Seattle Mariners | Philadelphia Phillies | Colorado Rockies,Chicago Cubs (1986-1988) | Texas Rangers (1989-1990) | St. Louis Cardinals (1991-1991) | Baltimore Orioles (1993-1995) | Boston Red Sox (1996-1996) | Seattle Mariners (1996-2006) | Philadelphia Phillies (2006-2010) | Colorado Rockies (2012-2012),701,51,0,15,0,0.128,696,2441,269,209,0,4074.0,4.25,Corrective Induction,Long-run durability case added manually outside the automatic induction lanes.,2026,TRUE,NA,1,NA
mccorji01,Jim McCormick,1856,1878,1887,https://www.baseball-reference.com/players/m/mccorji01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P | OF | 1B | 2B | 3B,Indianapolis Blues | Cleveland Blues | Cincinnati Outlaw Reds | Chicago White Stockings | Providence Grays | Pittsburg Alleghenys,Indianapolis Blues (1878-1878) | Cleveland Blues (1879-1884) | Cincinnati Outlaw Reds (1884-1884) | Chicago White Stockings (1885-1886) | Providence Grays (1885-1885) | Pittsburg Alleghenys (1887-1887),534,491,4,178,10,0.236,492,1704,265,214,1,4275.2,2.43,Corrective Induction,Nineteenth-century pitching case added manually outside the automatic induction lanes.,2026,TRUE,NA,NA,NA
jacksjo01,Joe Jackson,1887,1908,1920,https://www.baseball-reference.com/players/j/jacksjo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,OF,OF | 1B,Philadelphia Athletics | Cleveland Naps | Chicago White Sox | Cleveland Indians,Philadelphia Athletics (1908-1909) | Cleveland Naps (1910-1914) | Chicago White Sox (1915-1920) | Cleveland Indians (1915-1915),1332,1772,54,785,202,0.356,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Historic batting case added manually outside the automatic induction lanes.,2026,TRUE,NA,NA,NA
nathajo01,Joe Nathan,1974,1999,2016,https://www.baseball-reference.com/players/n/nathajo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,San Francisco Giants | Minnesota Twins | Texas Rangers | Detroit Tigers | Chicago Cubs,San Francisco Giants (1999-2016) | Minnesota Twins (2004-2011) | Texas Rangers (2012-2013) | Detroit Tigers (2014-2015) | Chicago Cubs (2016-2016),787,10,2,4,0,0.159,787,976,64,34,377,923.1,2.87,Corrective Induction,Elite closer resume added manually outside the automatic induction lanes.,2026,TRUE,Reliever of the Year (1),6,NA
vottojo01,Joey Votto,1983,2007,2023,https://www.baseball-reference.com/players/v/vottojo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,1B,1B | OF,Cincinnati Reds,Cincinnati Reds (2007-2023),2056,2135,356,1144,80,0.294,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Recently retired first baseman with an MVP-caliber peak added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (1) | MVP (1),6,NA
santajo02,Johan Santana,1979,2000,2012,https://www.baseball-reference.com/players/s/santajo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Minnesota Twins | New York Mets,Minnesota Twins (2000-2007) | New York Mets (2008-2012),360,40,1,9,0,0.161,360,1988,139,78,1,2025.2,3.2,Corrective Induction,Two-time Cy Young peak added manually outside the automatic induction lanes.,2026,TRUE,Cy Young (2) | Gold Glove (1),4,NA
francjo01,John Franco,1960,1984,2005,https://www.baseball-reference.com/players/f/francjo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Cincinnati Reds | New York Mets | Houston Astros,Cincinnati Reds (1984-1989) | New York Mets (1990-2004) | Houston Astros (2005-2005),1119,3,0,1,0,0.088,1119,975,90,87,424,1245.2,2.89,Corrective Induction,Long-run left-handed closer case added manually outside the automatic induction lanes.,2026,TRUE,Reliever of the Year (2),4,NA
hillejo01,John Hiller,1943,1965,1980,https://www.baseball-reference.com/players/h/hillejo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Detroit Tigers,Detroit Tigers (1965-1980),546,11,0,4,0,0.109,545,1036,87,76,125,1242.0,2.83,Corrective Induction,Relief ace case added manually outside the automatic induction lanes.,2026,TRUE,NA,1,NA
olerujo01,John Olerud,1968,1989,2005,https://www.baseball-reference.com/players/o/olerujo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,1B,1B,Toronto Blue Jays | New York Mets | Seattle Mariners | New York Yankees | Boston Red Sox,Toronto Blue Jays (1989-1996) | New York Mets (1997-1999) | Seattle Mariners (2000-2004) | New York Yankees (2004-2004) | Boston Red Sox (2005-2005),2234,2239,255,1230,11,0.295,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,High-OBP first-base value added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (3),2,NA
hernake01,Keith Hernandez,1953,1974,1990,https://www.baseball-reference.com/players/h/hernake01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,1B,1B | OF,St. Louis Cardinals | New York Mets | Cleveland Indians,St. Louis Cardinals (1974-1983) | New York Mets (1983-1989) | Cleveland Indians (1990-1990),2088,2182,162,1071,98,0.296,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Elite first-base defense and strong all-around value added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (11) | MVP (1) | Silver Slugger (2),5,NA
loftoke01,Kenny Lofton,1967,1991,2007,https://www.baseball-reference.com/players/l/loftoke01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,OF,OF,Houston Astros | Cleveland Indians | Atlanta Braves | Chicago White Sox | San Francisco Giants | Chicago Cubs | Pittsburgh Pirates | New York Yankees | Philadelphia Phillies | Los Angeles Dodgers | Texas Rangers,Houston Astros (1991-1991) | Cleveland Indians (1992-2007) | Atlanta Braves (1997-1997) | Chicago White Sox (2002-2002) | San Francisco Giants (2002-2002) | Chicago Cubs (2003-2003) | Pittsburgh Pirates (2003-2003) | New York Yankees (2004-2004) | Philadelphia Phillies (2005-2005) | Los Angeles Dodgers (2006-2006) | Texas Rangers (2007-2007),2103,2428,130,781,622,0.299,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Center-field value and top-end baserunning case added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (4),6,NA
brownke01,Kevin Brown,1965,1986,2005,https://www.baseball-reference.com/players/b/brownke01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Texas Rangers | Baltimore Orioles | Florida Marlins | San Diego Padres | Los Angeles Dodgers | New York Yankees,Texas Rangers (1986-1994) | Baltimore Orioles (1995-1995) | Florida Marlins (1996-1997) | San Diego Padres (1998-1998) | Los Angeles Dodgers (1999-2003) | New York Yankees (2004-2005),490,64,2,29,0,0.129,486,2397,211,144,0,3256.1,3.28,Corrective Induction,Power-pitching ace case added manually outside the automatic induction lanes.,2026,TRUE,NA,6,NA
whitalo01,Lou Whitaker,1957,1977,1995,https://www.baseball-reference.com/players/w/whitalo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,2B,2B,Detroit Tigers,Detroit Tigers (1977-1995),2390,2369,244,1084,143,0.276,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Long-run second-base value and overlooked Hall case added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (3) | Silver Slugger (4),5,NA
tiantlu01,Luis Tiant,1940,1964,1982,https://www.baseball-reference.com/players/t/tiantlu01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Cleveland Indians | Minnesota Twins | Boston Red Sox | New York Yankees | Pittsburgh Pirates | California Angels,Cleveland Indians (1964-1969) | Minnesota Twins (1970-1970) | Boston Red Sox (1971-1978) | New York Yankees (1979-1980) | Pittsburgh Pirates (1981-1981) | California Angels (1982-1982),573,84,5,44,1,0.164,573,2416,229,172,15,3486.1,3.3,Corrective Induction,Long-run pitching value and peak case added manually outside the automatic induction lanes.,2026,TRUE,NA,3,NA
buehrma01,Mark Buehrle,1979,2000,2015,https://www.baseball-reference.com/players/b/buehrma01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Chicago White Sox | Miami Marlins | Toronto Blue Jays,Chicago White Sox (2000-2011) | Miami Marlins (2012-2012) | Toronto Blue Jays (2013-2015),518,9,1,3,0,0.072,518,1870,214,160,0,3283.1,3.81,Corrective Induction,Durable left-hander case added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.,2026,TRUE,Gold Glove (4),5,NA
canoro01,Robinson Cano,1982,2005,2022,https://www.baseball-reference.com/players/c/canoro01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,2B,2B | 1B | 3B | SS,New York Yankees | Seattle Mariners | New York Mets | Atlanta Braves | San Diego Padres,New York Yankees (2005-2013) | Seattle Mariners (2014-2018) | New York Mets (2019-2022) | Atlanta Braves (2022-2022) | San Diego Padres (2022-2022),2267,2639,335,1306,51,0.301,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Long-run second-base production added manually outside the automatic induction lanes.,2026,TRUE,All-Star Game MVP (1) | Gold Glove (2) | Silver Slugger (5),8,NA
oswalro01,Roy Oswalt,1977,2001,2013,https://www.baseball-reference.com/players/o/oswalro01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P | OF,Houston Astros | Philadelphia Phillies | Texas Rangers | Colorado Rockies,Houston Astros (2001-2010) | Philadelphia Phillies (2010-2011) | Texas Rangers (2012-2012) | Colorado Rockies (2013-2013),370,101,1,36,0,0.154,365,1852,163,102,0,2245.1,3.36,Corrective Induction,Peak ace value added manually outside the automatic induction lanes.,2026,TRUE,NA,3,NA
molinya01,Yadier Molina,1982,2004,2022,https://www.baseball-reference.com/players/m/molinya01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,C,C | 1B | P | 3B,St. Louis Cardinals,St. Louis Cardinals (2004-2022),2226,2168,176,1022,71,0.277,2,1,0,0,0,2.0,18,Corrective Induction,"Franchise catcher, championship anchor, and long-run defensive standout added manually outside the automatic induction lanes.",2026,TRUE,Gold Glove (9) | Silver Slugger (1),10,NA
britzza01,Zack Britton,1987,2011,2022,https://www.baseball-reference.com/players/b/brittza01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Baltimore Orioles | New York Yankees,Baltimore Orioles (2011-2018) | New York Yankees (2018-2022),442,5,1,2,0,0.625,442,532,35,26,154,641.0,3.13,Corrective Induction,Recently retired reliever added manually outside the automatic induction lanes.,2026,TRUE,Reliever of the Year (2),2,NA
greinza01,Zack Greinke,1983,2004,2023,https://www.baseball-reference.com/players/g/greinza01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Kansas City Royals | Milwaukee Brewers | Los Angeles Angels of Anaheim | Los Angeles Dodgers | Arizona Diamondbacks | Houston Astros,Kansas City Royals (2004-2023) | Milwaukee Brewers (2011-2012) | Los Angeles Angels of Anaheim (2012-2012) | Los Angeles Dodgers (2013-2015) | Arizona Diamondbacks (2016-2019) | Houston Astros (2019-2021),597,117,9,34,9,0.225,586,2979,225,156,1,3389.1,3.49,Corrective Induction,Recently retired pitcher added manually outside the automatic induction lanes.,2026,TRUE,Cy Young (1) | Gold Glove (6) | Silver Slugger (2),4,NA
